Data,Ticker,MarketCap,P/VP,Price,Rf
6/1/2008,CYRE3,"3,272.66",1.54,5.83,0.00
6/1/2008,DASA3,"1,290.42",2.69,5.10,0.00
6/1/2008,DXCO3,409.18,0.79,1.54,0.00
6/1/2008,DEXP3,99.20,0.88,1.38,0.00
6/1/2008,PNVL3,139.50,1.06,0.82,0.00
6/1/2008,DIRR3,0.00,0.00,0.00,0.00
6/1/2008,ECOR3,0.00,0.00,0.00,0.00
6/1/2008,ELET3,"28,927.98",0.34,10.47,0.00
6/1/2008,EMBR3,"6,375.49",1.07,7.51,0.00
6/1/2008,ENAT3,0.00,0.00,0.00,0.00
6/1/2008,ENBR3,"3,129.30",0.88,3.36,0.00
6/1/2008,ENGI3,"1,327.07",0.00,0.00,0.00
6/1/2008,ENEV3,956.34,0.46,23.13,0.00
6/1/2008,EGIE3,"12,108.37",3.82,7.10,0.00
6/1/2008,EQTL3,"1,058.49",0.96,0.80,0.00
6/1/2008,ETER3,365.72,1.48,6.20,0.00
6/1/2008,EUCA4,268.06,0.50,2.20,0.00
6/1/2008,EVEN3,517.65,0.66,1.97,0.00
6/1/2008,EZTC3,338.21,0.43,0.99,0.00
6/1/2008,FHER3,172.56,0.73,3.56,0.00
6/1/2008,FESA4,596.78,0.71,3.36,0.00
6/1/2008,FLRY3,0.00,0.00,0.00,0.00
6/1/2008,FRAS3,156.26,0.00,1.76,0.00
6/1/2008,GFSA3,"1,363.31",0.85,30.15,0.00
6/1/2008,GGBR4,"19,901.73",1.06,10.92,0.00
6/1/2008,GOAU4,"7,890.85",0.84,13.17,0.00
6/1/2008,GRND3,"1,270.00",1.01,0.68,0.00
6/1/2008,NTCO3,"8,147.93",11.67,6.47,0.00
6/1/2008,GUAR3,"1,045.20",0.85,1.64,0.00
6/1/2008,HBOR3,145.69,0.40,2.12,0.00
6/1/2008,HYPE3,"2,645.37",1.38,5.05,0.00
6/1/2008,PARD3,0.00,0.00,0.00,0.00
6/1/2008,MEAL3,0.00,0.00,0.00,0.00
6/1/2008,ROMI3,579.66,0.85,3.70,0.00
6/1/2008,MYPK3,415.03,0.94,2.55,0.00
6/1/2008,RANI3,208.27,4.06,0.81,0.00
6/1/2008,JBSS3,"6,920.99",1.13,4.02,0.00
6/1/2008,JHSF3,703.43,0.81,1.05,0.00
6/1/2008,KEPL3,195.18,1.12,4.68,0.00
6/1/2008,KLBN11,"3,520.17",0.00,0.00,0.00
6/1/2008,LIGT3,"4,457.99",1.59,10.75,0.00
6/1/2008,RENT3,"1,402.12",2.61,1.65,0.00
6/1/2008,LCAM3,0.00,0.00,0.00,0.00
6/1/2008,LOGN3,432.37,0.72,21.25,0.00
